14:56:05.183 INFO  s.m.l.Main$ - Starting server in /Users/clock/workSpace/Pharbers/micro-service-module/findBindTeacherStudentTimePaper
14:56:05.202 INFO  s.m.l.Main$ - Classpath: /Users/clock/.atom/packages/ide-scala/coursier
14:56:07.202 INFO  s.m.l.Formatter$ - Classloading scalafmt with 28 downloaded jars
14:56:07.874 INFO  s.m.l.ScalametaLanguageServer - Initialized with /Users/clock/workSpace/Pharbers/micro-service-module/findBindTeacherStudentTimePaper, InitializeParams(2880,/Users/clock/workSpace/Pharbers/micro-service-module/findBindTeacherStudentTimePaper/,ClientCapabilities())
14:56:08.092 ERROR l.c.LanguageServer$$anon$1 - Invalid Notification: List((,List(JsonValidationError(List(notification parameters must be given),WrappedArray())))) - Message: JsonRpcNotificationMessage(initialized,NoParams)
14:56:08.119 INFO  s.m.l.p.DocumentHighlightProvider$ - Document highlight in Uri(file:///Users/clock/workSpace/Pharbers/micro-service-module/findBindTeacherStudentTimePaper/app/services/findBindTeacherStudentTimePaper.scala)
14:56:08.120 INFO  s.m.l.s.InMemorySymbolIndex - resolveName at Uri(file:///Users/clock/workSpace/Pharbers/micro-service-module/findBindTeacherStudentTimePaper/app/services/findBindTeacherStudentTimePaper.scala):0:0
14:56:08.133 INFO  s.m.l.p.DocumentHighlightProvider$ - Document highlight in Uri(file:///Users/clock/workSpace/Pharbers/micro-service-module/findBindTeacherStudentTimePaper/app/services/findBindTeacherStudentTimePaper.scala)
14:56:08.134 INFO  s.m.l.s.InMemorySymbolIndex - resolveName at Uri(file:///Users/clock/workSpace/Pharbers/micro-service-module/findBindTeacherStudentTimePaper/app/services/findBindTeacherStudentTimePaper.scala):0:0
14:56:08.138 INFO  s.m.l.p.DocumentHighlightProvider$ - Document highlight in Uri(file:///Users/clock/workSpace/Pharbers/micro-service-module/findBindTeacherStudentTimePaper/app/services/findBindTeacherStudentTimePaper.scala)
14:56:08.248 INFO  s.m.l.s.InMemorySymbolIndex - resolveName at Uri(file:///Users/clock/workSpace/Pharbers/micro-service-module/findBindTeacherStudentTimePaper/app/services/findBindTeacherStudentTimePaper.scala):37:34
